seed_status,major_group,family,notes
seed,Angiosperms,Tamaricaceae,
seed,Angiosperms,Tapisciaceae,
seed,Angiosperms,Tecophilaeaceae,
seed,Angiosperms,Tetrachondraceae,
seed,Angiosperms,Tetramelaceae,
seed,Angiosperms,Tetrameristaceae,
seed,Angiosperms,Theaceae,
seed,Angiosperms,Thomandersiaceae,
seed,Angiosperms,Thurniaceae,
seed,Angiosperms,Thymelaeaceae,
seed,Angiosperms,Ticodendraceae,
seed,Angiosperms,Tofieldiaceae,
seed,Angiosperms,Torricelliaceae,
seed,Angiosperms,Tovariaceae,
seed,Angiosperms,Trigoniaceae,
